sample_id	seqnames	start	end	width	strand	score	annotation	gene_seqnames	gene_start	gene_end	gene_width	gene_strand	gene_id	transcript_id	tss_distance	gene_version	gene_name	gene_source	gene_biotype
251_S9_L001.insertion_sites.filtered	5	28975634	28975634	1	-	19	Distal Intergenic	5	28661813	28672254	10442	2	ENSMUSG00000002633	ENSMUST00000002708	-303380	5	Shh	ensembl_havana	protein_coding
251_S9_L001.insertion_sites.filtered	X	106214727	106214727	1	-	19	Distal Intergenic	20	106218216	106219100	885	2	ENSMUSG00000082630	ENSMUST00000119416	4373	2	Gm14834	havana	processed_pseudogene
251_S9_L001.insertion_sites.filtered	3	142135877	142135877	1	+	19	Distal Intergenic	3	142199739	142216865	17127	1	ENSMUSG00000105504	ENSMUST00000198803	-63862	5	Gbp5	ensembl_havana	protein_coding
251_S9_L001.insertion_sites.filtered	16	51889083	51889083	1	+	14	Intron (ENSMUST00000114471/ENSMUSG00000022637, intron 3 of 17)	16	51870016	52025748	155733	1	ENSMUSG00000022637	ENSMUST00000227756	19067	12	Cblb	ensembl_havana	protein_coding
251_S9_L001.insertion_sites.filtered	8	81022368	81022368	1	-	13	Distal Intergenic	8	81039702	81051937	12236	2	ENSMUSG00000120253	ENSMUST00000242112	29569	1	Gm30660	havana_tagene	lncRNA
251_S9_L001.insertion_sites.filtered	10	24712271	24712271	1	-	9	Promoter (<=1kb)	10	24648304	24712123	63820	2	ENSMUSG00000019989	ENSMUST00000020169	-148	9	Enpp3	ensembl_havana	protein_coding
251_S9_L001.insertion_sites.filtered	17	65965764	65965764	1	-	9	Intron (ENSMUST00000070673/ENSMUSG00000056515, intron 6 of 6)	17	65968322	65968573	252	2	ENSMUSG00000117114	ENSMUST00000233942	2809	2	Gm49867	havana	processed_pseudogene
251_S9_L001.insertion_sites.filtered	3	40658742	40658742	1	-	9	Distal Intergenic	3	40613297	40613596	300	2	ENSMUSG00000089932	ENSMUST00000161930	-45146	2	Gm16114	havana	processed_pseudogene
251_S9_L001.insertion_sites.filtered	4	131557961	131557961	1	-	9	Intron (ENSMUST00000105987/ENSMUSG00000028909, intron 1 of 29)	4	131496809	131565542	68734	2	ENSMUSG00000028909	ENSMUST00000030741	7581	18	Ptpru	ensembl_havana	protein_coding
251_S9_L001.insertion_sites.filtered	18	75497073	75497073	1	-	8	Exon (ENSMUST00000249573/ENSMUSG00000092569, exon 4 of 5)	18	75491711	75497898	6188	2	ENSMUSG00000092569	ENSMUST00000249487	825	4	Gm20544	havana	lncRNA
251_S9_L001.insertion_sites.filtered	13	6606917	6606917	1	+	8	Intron (ENSMUST00000021611/ENSMUSG00000021193, intron 7 of 25)	13	6598271	6606740	8470	1	ENSMUSG00000021193	ENSMUST00000220454	8646	11	Pitrm1	ensembl_havana	protein_coding
251_S9_L001.insertion_sites.filtered	11	54646459	54646459	1	+	8	Distal Intergenic	11	54619503	54625149	5647	1	ENSMUSG00000086039	ENSMUST00000147847	26956	2	Gm12227	havana	lncRNA
251_S9_L001.insertion_sites.filtered	12	13498860	13498860	1	-	7	Distal Intergenic	12	13505024	13505971	948	2	ENSMUSG00000071414	ENSMUST00000166583	7111	6	Gm6736	havana	processed_pseudogene
251_S9_L001.insertion_sites.filtered	3	75563882	75563882	1	+	7	Distal Intergenic	3	75526654	75530667	4014	1	ENSMUSG00000102625	ENSMUST00000192682	37228	2	Gm37672	havana	TEC
251_S9_L001.insertion_sites.filtered	13	108392206	108392206	1	-	7	Distal Intergenic	13	108369623	108370089	467	2	ENSMUSG00000114507	ENSMUST00000225536	-22117	2	Gm30747	havana	processed_pseudogene
251_S9_L001.insertion_sites.filtered	12	40281949	40281949	1	-	7	Intron (ENSMUST00000169926/ENSMUSG00000001627, intron 2 of 5)	12	40275262	40275781	520	2	ENSMUSG00000113181	ENSMUST00000222014	-6168	2	Gm47954	havana	processed_pseudogene
251_S9_L001.insertion_sites.filtered	10	12713748	12713748	1	+	6	Distal Intergenic	10	12721832	12722285	454	1	ENSMUSG00000112698	ENSMUST00000219425	-8084	2	Gm7525	havana	processed_pseudogene
251_S9_L001.insertion_sites.filtered	X	129399411	129399411	1	-	6	Distal Intergenic	20	129413863	129414538	676	2	ENSMUSG00000083920	ENSMUST00000117820	15127	2	Gm14987	havana	processed_pseudogene
251_S9_L001.insertion_sites.filtered	14	60312510	60312510	1	-	6	Intron (ENSMUST00000080368/ENSMUSG00000021983, intron 1 of 35)	14	59875989	60324283	448295	2	ENSMUSG00000021983	ENSMUST00000080368	11773	17	Atp8a2	ensembl_havana	protein_coding
251_S9_L001.insertion_sites.filtered	2	9943914	9943914	1	-	6	Intron (ENSMUST00000026888/ENSMUSG00000025782, intron 4 of 6)	2	9920102	9946562	26461	2	ENSMUSG00000025782	ENSMUST00000129720	2648	13	Taf3	ensembl_havana	protein_coding
251_S9_L001.insertion_sites.filtered	11	20865804	20865804	1	-	6	Distal Intergenic	11	20887576	20887701	126	2	ENSMUSG00002075334	ENSMUST00020181786	21897	1	Gm56407	ensembl	miRNA
251_S9_L001.insertion_sites.filtered	2	64815698	64815698	1	-	6	Intron (ENSMUST00000028252/ENSMUSG00000026888, intron 2 of 13)	2	64760533	64806113	45581	2	ENSMUSG00000026888	ENSMUST00000156765	-9585	15	Grb14	ensembl_havana	protein_coding
251_S9_L001.insertion_sites.filtered	3	79803786	79803786	1	-	6	Distal Intergenic	3	79766600	79794113	27514	2	ENSMUSG00000102191	ENSMUST00000195082	-9673	3	Gm36569	havana	lncRNA
251_S9_L001.insertion_sites.filtered	12	9299519	9299519	1	+	6	Distal Intergenic	12	9421438	9523770	102333	1	ENSMUSG00000113913	ENSMUST00000223136	-121919	2	Gm46323	havana	lncRNA
251_S9_L001.insertion_sites.filtered	5	32850871	32850871	1	+	6	Distal Intergenic	5	32853093	32870368	17276	1	ENSMUSG00000118435	ENSMUST00000238745	-2222	3	Gm50482	havana	unitary_pseudogene
251_S9_L001.insertion_sites.filtered	19	24738897	24738897	1	+	5	Distal Intergenic	19	24651372	24659597	8226	1	ENSMUSG00000048572	ENSMUST00000057243	87525	6	Tmem252	ensembl_havana	protein_coding
251_S9_L001.insertion_sites.filtered	17	66453605	66453605	1	-	5	Distal Intergenic	17	66494653	66494986	334	2	ENSMUSG00000117253	ENSMUST00000233943	41381	2	Gm49930	havana	processed_pseudogene
251_S9_L001.insertion_sites.filtered	10	102577684	102577684	1	+	5	Distal Intergenic	10	102519131	102530430	11300	1	ENSMUSG00000112845	ENSMUST00000218083	58553	2	Gm47143	havana	lncRNA
251_S9_L001.insertion_sites.filtered	3	125875459	125875459	1	-	5	Distal Intergenic	3	125946105	125946372	268	2	ENSMUSG00002076235	ENSMUST00020182072	70913	1	Gm54735	ensembl	misc_RNA
251_S9_L001.insertion_sites.filtered	16	70004858	70004858	1	-	5	Distal Intergenic	16	69940053	69941160	1108	2	ENSMUSG00000116531	ENSMUST00000232445	-63698	2	Gm19082	havana	processed_pseudogene
251_S9_L001.insertion_sites.filtered	4	21951436	21951436	1	-	5	Distal Intergenic	4	22006762	22008189	1428	2	ENSMUSG00000080997	ENSMUST00000118473	56753	2	Gm11885	havana	processed_pseudogene
251_S9_L001.insertion_sites.filtered	3	65543765	65543765	1	-	5	Distal Intergenic	3	65522789	65523595	807	2	ENSMUSG00000103294	ENSMUST00000194259	-20170	2	Gm38233	havana	processed_pseudogene
251_S9_L001.insertion_sites.filtered	5	26123882	26123882	1	+	4	Distal Intergenic	5	26161624	26162719	1096	1	ENSMUSG00000104651	ENSMUST00000199646	-37742	2	Gm21168	havana	processed_pseudogene
251_S9_L001.insertion_sites.filtered	18	83587812	83587812	1	-	4	Distal Intergenic	18	83618513	83621182	2670	2	ENSMUSG00000117658	ENSMUST00000237771	33370	2	Gm50417	havana	lncRNA
251_S9_L001.insertion_sites.filtered	4	137064640	137064640	1	-	4	Intron (ENSMUST00000051477/ENSMUSG00000006699, intron 1 of 5)	4	137049073	137085010	35938	2	ENSMUSG00000006699	ENSMUST00000030417	20370	18	Cdc42	ensembl_havana	protein_coding
251_S9_L001.insertion_sites.filtered	13	118530851	118530851	1	+	4	Distal Intergenic	13	118523166	118524660	1495	1	ENSMUSG00000097411	ENSMUST00000181168	7685	3	B430218F22Rik	ensembl_havana	lncRNA
251_S9_L001.insertion_sites.filtered	2	38778725	38778725	1	+	4	Distal Intergenic	2	38752175	38755545	3371	1	ENSMUSG00000107468	ENSMUST00000204297	26550	2	5730507A11Rik	havana	TEC
251_S9_L001.insertion_sites.filtered	7	67387500	67387500	1	+	3	Intron (ENSMUST00000208764/ENSMUSG00000030555, intron 5 of 6)	7	67375009	67375762	754	1	ENSMUSG00000030555	ENSMUST00000154697	12491	17	Ttc23	ensembl_havana	protein_coding
251_S9_L001.insertion_sites.filtered	9	114568144	114568144	1	-	3	Distal Intergenic	9	114592360	114604519	12160	2	ENSMUSG00000032436	ENSMUST00000217056	36375	18	Cmtm7	ensembl_havana	protein_coding
